timestamp,run,area,site,iteration,kind,label,sweep,n_points,elapsed_s,status,vth_cc,ss,decades,id_on,ig_max,hysteresis_V,compliance_hit,path,note
2026-08-19T14:53:05,260819_145240,A,1,0,transfer,seed_BG_from_stack,BG -2→6V 81pt single,81,5.4,propose,,0.631,3.29,4.888e-11,1.556e-12,,False,260819_145240\A\1\iter00_tr_BG_-2to6V_81pt_sgl_VD0.1,"목적이 Vth와 SS 뿐이고 스윕 자체가 가역적 전하 트래핑으로 소자 상태를 바꾸고 있으므로, turn-on(기대 Vth 1.55 V) 위아래로 필요한 최소 구간만 잡았다. off floor 1e-13 A에서 on 영역까지 SS 0.27 V/dec 기준 7 decade 전이가 약 2 V 안에서 끝나므로 -2 V에서 +6 V면 off floor 수 decad"
2026-08-19T14:53:24,260819_145240,A,1,1,transfer,seed_BG_from_stack,BG -1→9V 51pt single,51,4.2,converged,7.96,0.434,5.23,6.383e-09,2.182e-12,,False,260819_145240\A\1\iter01_tr_BG_-1to9V_51pt_sgl_VD0.1,"턴0 곡선에서 I_D는 5.0 V 부근부터 지수적으로 상승해 6 V(윈도우 끝)에서 1.05e-10 A로 여전히 상승 중이다. metrics의 polarity='p', vth_lin=1.517, ss=0.631은 -2~5 V 구간의 1e-13 A대 노이즈 플로어에 회귀가 걸린 허수치이며 turn_on_inside_window=false가 이를 뒷받침한다(실"
2026-08-19T14:54:14,260819_145240,A,2,0,transfer,seed_BG_from_stack,BG -2→6V 81pt single,81,29.0,converged,2.171,0.546,5.93,5.544e-07,1.066e-12,,False,260819_145240\A\2\iter00_tr_BG_-2to6V_81pt_sgl_VD0.1,"목적이 Vth와 SS 뿐이고 스윕 자체가 가역적 전하 트래핑으로 소자 상태를 바꾸고 있으므로, turn-on(기대 Vth 1.55 V) 위아래로 필요한 최소 구간만 잡았다. off floor 1e-13 A에서 on 영역까지 SS 0.27 V/dec 기준 7 decade 전이가 약 2 V 안에서 끝나므로 -2 V에서 +6 V면 off floor 수 decad"
2026-08-19T14:58:23,260819_145756,A,1,0,transfer,seed_BG_from_stack,BG -3→19V 148pt single,148,9.0,propose,7.024,0.79,6.05,1.195e-06,3.894e-12,,False,260819_145756\A\1\iter00_tr_BG_-3to19V_148pt_sgl_VD0.1,"목적이 Vth·SS·on/off 비뿐이라 히스테리시스용 왕복은 불필요하므로 single 편도로 바꿔 누적 스트레스를 절반으로 줄인다. off floor(1e-13 A)를 확보하려면 Vth 1.55 V 아래로 SS 0.27 V/dec × 7 decade ≈ 1.9 V 이상 필요해 시작점을 -3 V 로 약간 내렸고, on 전류는 자료가 특성화한 +19 V 근처"
2026-08-19T14:59:04,260819_145756,A,1,1,transfer,seed_BG_from_stack,BG -5→19V 161pt double,322,17.4,propose,10.03,0.482,6.86,1.13e-06,4.362e-12,-1.62,False,260819_145756\A\1\iter01_tr_BG_-5to19V_161pt_dbl_VD0.1,"턴0에서 n형 정상 동작 확인: SS 0.79 V/dec, decades 6.05, id_on 1.19 µA @19 V, Ig_max 3.9e-12 A로 컴플라이언스 대비 3자리 아래이며 Ig/Id 3e-6 수준이라 누설 문제는 없다. 다만 vth_lin(12.86 V)과 vth_cc(7.02 V)가 5.8 V나 벌어지고, 원본 CSV에서 Vg 7.2~7."
2026-08-19T14:59:36,260819_145756,A,1,2,transfer,seed_BG_from_stack,BG -5→19V 161pt double,322,17.2,converged,9.758,0.532,6.68,1.1e-06,4.3e-12,-2.15,False,260819_145756\A\1\iter02_tr_BG_-5to19V_161pt_dbl_VD0.1,"턴1에서 목적 지표는 모두 확보됐다(SS 0.482 V/dec, decades 6.86, id_on 1.13 µA @19 V, Ig_max 4.4e-12 A로 컴플라이언스 3자리 아래·Ig/Id 3.9e-6 이라 누설 없음). 문제는 재현성이다: 턴0 대비 turn-on 이 CSV 상 Vg≈4.5 V→8.5 V 로, vth_cc 7.02→10.03 V, v"
2026-08-19T15:00:22,260819_145756,A,2,0,transfer,seed_BG_from_stack,BG -3→19V 148pt single,148,32.1,propose,1.071,0.466,5.88,1.746e-06,1.56e-12,,False,260819_145756\A\2\iter00_tr_BG_-3to19V_148pt_sgl_VD0.1,"목적이 Vth·SS·on/off 비뿐이라 히스테리시스용 왕복은 불필요하므로 single 편도로 바꿔 누적 스트레스를 절반으로 줄인다. off floor(1e-13 A)를 확보하려면 Vth 1.55 V 아래로 SS 0.27 V/dec × 7 decade ≈ 1.9 V 이상 필요해 시작점을 -3 V 로 약간 내렸고, on 전류는 자료가 특성화한 +19 V 근처"
2026-08-19T15:00:48,260819_145756,A,2,1,transfer,seed_BG_from_stack,BG -5→19V 161pt single,161,9.5,converged,2.454,0.357,5.92,1.722e-06,1.608e-12,,False,260819_145756\A\2\iter01_tr_BG_-5to19V_161pt_sgl_VD0.1,"턴 0 은 n형 정상 동작 곡선(vth_cc=1.071 V, SS=0.466 V/dec, 5.88 decades, id_norm 7.76e-7 A, Ig_max 1.56e-12 A로 누설 무시 가능)을 이미 줬고 compliance hit 도 없다. 다만 off 영역이 -3~-0.6 V 밖에 없어 floor 가 5점 남짓이고 floor_slope 0.158"
2026-08-19T15:11:14,260819_151049,A,1,0,transfer,seed_BG_from_stack,BG -5→20V 168pt single,168,9.5,converged,1.949,0.487,6.4,4.852e-06,1.742e-12,,False,260819_151049\A\1\iter00_tr_BG_-5to20V_168pt_sgl_VD0.1,"목적이 Vth·SS·on/off 비뿐이므로 히스테리시스용 왕복은 불필요하다 — single 로 바꿔 누적 스트레스를 절반으로 줄인다. off 바닥(1e-13 A)을 몇 decade 확보하려면 turn-on(Vth 1.55 V) 아래로 -5 V 면 충분하고, on 전류 기준점(Vg=20 V, Vd=0.1 V)까지는 올려야 on/off 비가 스펙과 비교 가능하"
2026-08-19T15:12:01,260819_151049,A,2,0,transfer,seed_BG_from_stack,BG -5→20V 168pt single,168,33.0,converged,0.8794,0.587,6.34,4.835e-06,1.604e-12,,False,260819_151049\A\2\iter00_tr_BG_-5to20V_168pt_sgl_VD0.1,"목적이 Vth·SS·on/off 비뿐이므로 히스테리시스용 왕복은 불필요하다 — single 로 바꿔 누적 스트레스를 절반으로 줄인다. off 바닥(1e-13 A)을 몇 decade 확보하려면 turn-on(Vth 1.55 V) 아래로 -5 V 면 충분하고, on 전류 기준점(Vg=20 V, Vd=0.1 V)까지는 올려야 on/off 비가 스펙과 비교 가능하"
