
SetupTitle, ID_VG_CEC
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 1
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 10
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, absID, absIG
TestParameter, Function.User.Unit, A, A
TestParameter, Function.User.Definition, abs(ID), abs(IG)
TestParameter, Function.Analysis.Name, gm
TestParameter, Function.Analysis.Unit, S
TestParameter, Function.Analysis.Definition, diff(ID,VG)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -0.5
TestParameter, Output.Graph.XAxis.Right, 0.5
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, absID, absIG
TestParameter, Output.Graph.YAxis.Scale, Log, Log
TestParameter, Output.Graph.YAxis.Bottom, 1E-11, 1E-11
TestParameter, Output.Graph.YAxis.Top, 0.0001, 0.0001
TestParameter, Output.Graph.YAxis.Group, Group 1, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, false, false
TestParameter, Output.List.Data, VG, absID, gm, IG
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 07/22/2026 15:36:57
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 2
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, (2, -2) trial 2
MetaData, TestRecord.LinkKey, d022d6c4-dffa-4145-99e1-622caf386fc7
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, absID, absIG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, Group 1, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, false, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-11, 1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.0001, 0.0001
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU1:HR, Name=VG, Direction=Double, Linear/Log=LINEAR, Start=0 V, Stop=10 V, Step=125 mV, No. of Steps=81, Compliance=10 mA, Pwr Comp=OFF	[VAR2] Unit=SMU2:HR, Name=VD, Start=100 mV, Stop=3.9 V, Step=1.9 V, No. of Steps=3, Compliance=10 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU3:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VD	0.1,2,3.9	0.1	1.9	3
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VG, absID, gm, IG
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, S, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, ID_VG_CEC
Dimension1, 162, 162, 162, 162, 162, 162
Dimension2, 3, 3, 3, 3, 3, 3
DataName, VG, IG, ID, absID, absIG, gm
DataValue, 0, 6.7132000000000009E-11, -8.7390000000000014E-12, 8.7390000000000014E-12, 6.7132000000000009E-11, -2.4750400000000006E-10
DataValue, 0.125, -4.8516E-11, -3.9677000000000006E-11, 3.9677000000000006E-11, 4.8516E-11, 3.6864000000000003E-10
DataValue, 0.25, 1.1808000000000001E-11, 8.3421E-11, 8.3421E-11, 1.1808000000000001E-11, -1.2743199999999998E-10
DataValue, 0.375, 2.351E-11, -7.1535E-11, 7.1535E-11, 2.351E-11, -2.18744E-10
DataValue, 0.5, -5.9636E-11, 2.8735E-11, 2.8735E-11, 5.9636E-11, 3.2592E-10
DataValue, 0.625, 6.5864E-11, 9.9450000000000009E-12, 9.9450000000000009E-12, 6.5864E-11, -3.4240800000000004E-10
DataValue, 0.75, -3.4382E-11, -5.6867000000000006E-11, 5.6867000000000006E-11, 3.4382E-11, 3.0516000000000006E-10
DataValue, 0.875, 4.8740000000000004E-12, 8.6235000000000013E-11, 8.6235000000000013E-11, 4.8740000000000004E-12, -1.9895999999999969E-11
DataValue, 1, 3.4816E-11, -6.1841E-11, 6.1841E-11, 3.4816E-11, -2.7631200000000007E-10
DataValue, 1.125, -6.6108E-11, 1.7157000000000002E-11, 1.7157000000000002E-11, 6.6108E-11, 3.3820000000000003E-10
DataValue, 1.25, 5.9528000000000009E-11, 2.2709000000000003E-11, 2.2709000000000003E-11, 5.9528000000000009E-11, -3.4424000000000004E-10
DataValue, 1.375, -2.4164000000000002E-11, -6.8903E-11, 6.8903E-11, 2.4164000000000002E-11, 2.66712E-10
DataValue, 1.5, -3.1740000000000004E-12, 8.9387E-11, 8.9387E-11, 3.1740000000000004E-12, 1.65072E-10
DataValue, 1.625, 4.5658E-11, -2.7635000000000003E-11, 2.7635000000000003E-11, 4.5658E-11, 4.21600000000003E-12
DataValue, 1.75, -6.9842E-11, 9.0441000000000009E-11, 9.0441000000000009E-11, 6.9842E-11, 1.084872E-09
DataValue, 1.875, 5.0026000000000005E-11, 2.4358300000000003E-10, 2.4358300000000003E-10, 5.0026000000000005E-11, 7.95432E-10
DataValue, 2, -1.2816E-11, 2.89299E-10, 2.89299E-10, 1.2816E-11, 1.6402000000000002E-09
DataValue, 2.125, -1.4886E-11, 6.5363300000000007E-10, 6.5363300000000007E-10, 1.4886E-11, 2.2003440000000003E-09
DataValue, 2.25, 5.6638000000000006E-11, 8.393850000000001E-10, 8.393850000000001E-10, 5.6638000000000006E-11, 2.1590279999999995E-09
DataValue, 2.375, -6.4788E-11, 1.19339E-09, 1.19339E-09, 6.4788E-11, 4.1011799999999993E-09
DataValue, 2.5, 1.9268E-11, 1.86468E-09, 1.86468E-09, 1.9268E-11, 5.0517999999999995E-09
DataValue, 2.625, 7.5700000000000011E-12, 2.45634E-09, 2.45634E-09, 7.5700000000000011E-12, 7.2934400000000008E-09
DataValue, 2.75, -3.6804E-11, 3.68804E-09, 3.68804E-09, 3.6804E-11, 1.03762E-08
DataValue, 2.875, 6.8090000000000007E-11, 5.05039E-09, 5.05039E-09, 6.8090000000000007E-11, 1.347668E-08
DataValue, 3, -6.4078000000000009E-11, 7.05721E-09, 7.05721E-09, 6.4078000000000009E-11, 1.87698E-08
DataValue, 3.125, 4.0324000000000005E-11, 9.74284E-09, 9.74284E-09, 4.0324000000000005E-11, 2.302836E-08
DataValue, 3.25, -9.5360000000000014E-12, 1.28143E-08, 1.28143E-08, 9.5360000000000014E-12, 2.926783999999999E-08
DataValue, 3.375, -5.8752000000000008E-11, 1.7059799999999998E-08, 1.7059799999999998E-08, 5.8752000000000008E-11, 3.7174799999999996E-08
DataValue, 3.5, 4.1382E-11, 2.2108E-08, 2.2108E-08, 4.1382E-11, 4.5993200000000004E-08
DataValue, 3.625, 2.6726000000000002E-11, 2.85581E-08, 2.85581E-08, 2.6726000000000002E-11, 5.5988E-08
DataValue, 3.75, -6.688200000000001E-11, 3.6105E-08, 3.6105E-08, 6.688200000000001E-11, 6.6074E-08
DataValue, 3.875, 5.246E-12, 4.50766E-08, 4.50766E-08, 5.246E-12, 7.7177599999999983E-08
DataValue, 4, 5.7800000000000003E-11, 5.5399399999999994E-08, 5.5399399999999994E-08, 5.7800000000000003E-11, 8.9405999999999974E-08
DataValue, 4.125, -3.7648E-11, 6.7428099999999992E-08, 6.7428099999999992E-08, 3.7648E-11, 1.0565799999999998E-07
DataValue, 4.25, -2.2818E-11, 8.1813899999999989E-08, 8.1813899999999989E-08, 2.2818E-11, 1.211588E-07
DataValue, 4.375, 6.9326E-11, 9.7717799999999991E-08, 9.7717799999999991E-08, 6.9326E-11, 1.3990440000000006E-07
DataValue, 4.5, -1.55E-12, 1.1679E-07, 1.1679E-07, 1.55E-12, 1.584088E-07
DataValue, 4.625, 7.0950000000000011E-11, 1.3732E-07, 1.3732E-07, 7.0950000000000011E-11, 1.7327999999999997E-07
DataValue, 4.75, -3.208E-12, 1.6011E-07, 1.6011E-07, 3.208E-12, 1.9208E-07
DataValue, 4.875, -6.6832000000000008E-11, 1.8534E-07, 1.8534E-07, 6.6832000000000008E-11, 2.1012000000000003E-07
DataValue, 5, 1.6918E-11, 2.1264E-07, 2.1264E-07, 1.6918E-11, 2.1955999999999994E-07
DataValue, 5.125, 6.2734000000000008E-11, 2.4023E-07, 2.4023E-07, 6.2734000000000008E-11, 2.2964000000000004E-07
DataValue, 5.25, -2.1848000000000003E-11, 2.7005E-07, 2.7005E-07, 2.1848000000000003E-11, 2.4180000000000017E-07
DataValue, 5.375, -5.066E-11, 3.0068E-07, 3.0068E-07, 5.066E-11, 2.5095999999999997E-07
DataValue, 5.5, 3.8528000000000004E-11, 3.3279E-07, 3.3279E-07, 3.8528000000000004E-11, 2.5584E-07
DataValue, 5.625, 4.3278E-11, 3.6464E-07, 3.6464E-07, 4.3278E-11, 2.5747999999999995E-07
DataValue, 5.75, -4.6124000000000007E-11, 3.9716E-07, 3.9716E-07, 4.6124000000000007E-11, 2.6595999999999982E-07
DataValue, 5.875, -2.4048000000000003E-11, 4.3112999999999997E-07, 4.3112999999999997E-07, 2.4048000000000003E-11, 2.7208E-07
DataValue, 6, 5.9646E-11, 4.6518E-07, 4.6518E-07, 5.9646E-11, 2.7427999999999994E-07
DataValue, 6.125, 1.677E-11, 4.997E-07, 4.997E-07, 1.677E-11, 2.7887999999999986E-07
DataValue, 6.25, -6.658E-11, 5.349E-07, 5.349E-07, 6.658E-11, 2.8475999999999996E-07
DataValue, 6.375, 2.6000000000000003E-14, 5.7088999999999995E-07, 5.7088999999999995E-07, 2.6000000000000003E-14, 2.8596000000000005E-07
DataValue, 6.5, 7.2886000000000011E-11, 6.0639E-07, 6.0639E-07, 7.2886000000000011E-11, 2.8620000000000033E-07
DataValue, 6.625, -5.264E-12, 6.4244E-07, 6.4244E-07, 5.264E-12, 2.9092000000000017E-07
DataValue, 6.75, -6.4626E-11, 6.7912E-07, 6.7912E-07, 6.4626E-11, 2.9155999999999963E-07
DataValue, 6.875, 1.9608000000000003E-11, 7.1532999999999993E-07, 7.1532999999999993E-07, 1.9608000000000003E-11, 2.914399999999997E-07
DataValue, 7, 6.1406E-11, 7.5197999999999993E-07, 7.5197999999999993E-07, 6.1406E-11, 2.9208E-07
DataValue, 7.125, -2.8404000000000002E-11, 7.8834999999999994E-07, 7.8834999999999994E-07, 2.8404000000000002E-11, 2.9496000000000031E-07
DataValue, 7.25, -4.5004E-11, 8.2572E-07, 8.2572E-07, 4.5004E-11, 2.9892000000000035E-07
DataValue, 7.375, 4.5088000000000005E-11, 8.6308E-07, 8.6308E-07, 4.5088000000000005E-11, 3.029199999999998E-07
DataValue, 7.5, 3.4538E-11, 9.0145E-07, 9.0145E-07, 3.4538E-11, 3.0959999999999997E-07
DataValue, 7.625, -5.1520000000000007E-11, 9.4048E-07, 9.4048E-07, 5.1520000000000007E-11, 3.0796000000000044E-07
DataValue, 7.75, -1.6472E-11, 9.7844E-07, 9.7844E-07, 1.6472E-11, 3.0204000000000008E-07
DataValue, 7.875, 6.528200000000001E-11, 1.01599E-06, 1.01599E-06, 6.528200000000001E-11, 3.0167999999999946E-07
DataValue, 8, 1.178E-11, 1.05386E-06, 1.05386E-06, 1.178E-11, 3.0839999999999945E-07
DataValue, 8.125, -6.7306E-11, 1.09309E-06, 1.09309E-06, 6.7306E-11, 3.1500000000000037E-07
DataValue, 8.25, 6.0800000000000008E-12, 1.13261E-06, 1.13261E-06, 6.0800000000000008E-12, 3.0164000000000089E-07
